District,DMA,Channel,Week,Percent Of State,Dem GRPs,Rep GRPs,Net GRPs,Cost Per Impression,CPPs,Value Per Dollar,Change In State Voteshare,Change In DMA Voteshare,Forecasted Cand Dem GRPs,Forecasted Cand Rep GRPs,Cost,Cumulative,Speculative,Speculative -  Value Per Dollar
AL_class_2,Huntsville-Decatur (Florence) AL,Digital,2020-10-20,20.7%,0,0,0,.025,224,.000,.06%,.28%,0,0,"$111,954.0",,1,.000
AL_class_2,Huntsville-Decatur (Florence) AL,Digital,2020-10-27,20.7%,0,0,0,.025,224,.000,.06%,.27%,0,0,"$111,954.0",,1,.000
AL_class_2,Montgomery (Selma) AL,Digital,2020-10-20,12.5%,0,0,0,.025,143,.000,.04%,.29%,0,0,"$71,259.8",,1,.000
AL_class_2,Montgomery (Selma) AL,Digital,2020-10-27,12.5%,0,0,0,.025,143,.000,.04%,.28%,0,0,"$71,259.8",,1,.000
AL_class_2,Meridian MS,Digital,2020-10-20,.6%,0,0,0,.025,6,.000,.00%,.41%,0,0,"$3,077.6",,1,.000
AL_class_2,Meridian MS,Digital,2020-10-27,.6%,0,0,0,.025,6,.000,.00%,.46%,2000,0,"$3,077.6",,1,.000
AR_class_2,Shreveport LA,Digital,2020-10-20,4.2%,0,0,0,.025,26,.000,.03%,.62%,0,0,"$12,971.3",,1,.000
AR_class_2,Shreveport LA,Digital,2020-10-27,4.2%,0,0,0,.025,26,.000,.02%,.51%,0,0,"$12,971.3",,1,.000
AR_class_2,Springfield MO,Digital,2020-10-20,5.3%,0,0,0,.025,31,.000,.03%,.62%,0,0,"$15,464.1",,1,.000
AR_class_2,Springfield MO,Digital,2020-10-27,5.3%,0,0,0,.025,31,.000,.03%,.51%,0,0,"$15,464.1",,1,.000
AR_class_2,Monroe LA-El Dorado AR,Digital,2020-10-20,2.0%,0,0,0,.025,13,.000,.01%,.62%,0,0,"$6,500.5",,1,.000
AR_class_2,Monroe LA-El Dorado AR,Digital,2020-10-27,2.0%,0,0,0,.025,13,.000,.01%,.51%,0,0,"$6,500.5",,1,.000
AR_class_2,Memphis TN,Digital,2020-10-20,5.6%,0,0,0,.025,36,.000,.03%,.62%,0,0,"$17,996.3",,1,.000
AR_class_2,Memphis TN,Digital,2020-10-27,5.6%,0,0,0,.025,36,.000,.03%,.51%,0,0,"$17,996.3",,1,.000
AR_class_2,Ft. Smith-Fayetteville-Springdale-Rogers AR,Digital,2020-10-20,25.4%,0,0,0,.025,147,.000,.14%,.55%,0,0,"$73,311.0",,1,.000
AR_class_2,Ft. Smith-Fayetteville-Springdale-Rogers AR,Digital,2020-10-27,25.4%,0,0,0,.025,147,.000,.11%,.45%,0,0,"$73,311.0",,1,.000
AR_class_2,Little Rock-Pine Bluff AR,Digital,2020-10-20,50.9%,0,0,0,.025,298,.000,.27%,.53%,0,0,"$148,981.0",,1,.000
AR_class_2,Little Rock-Pine Bluff AR,Digital,2020-10-27,50.9%,0,0,0,.025,298,.000,.22%,.43%,0,0,"$148,981.0",,1,.000
AR_class_2,Jonesboro AR,Digital,2020-10-20,6.6%,0,0,0,.025,40,.000,.04%,.58%,0,0,"$19,852.0",,1,.000
AR_class_2,Jonesboro AR,Digital,2020-10-27,6.6%,0,0,0,.025,40,.000,.03%,.47%,0,0,"$19,852.0",,1,.000
ID_class_2,Boise ID,Digital,2020-10-20,47.3%,0,0,0,.025,142,.000,.27%,.57%,0,0,"$70,812.0",,1,.000
ID_class_2,Boise ID,Digital,2020-10-27,47.3%,0,0,0,.025,142,.000,.19%,.41%,0,0,"$70,812.0",,1,.000
ID_class_2,Idaho Falls-Pocatello ID,Digital,2020-10-20,19.6%,0,0,0,.025,61,.000,.11%,.58%,0,0,"$30,577.4",,1,.000
ID_class_2,Idaho Falls-Pocatello ID,Digital,2020-10-27,19.6%,0,0,0,.025,61,.000,.08%,.41%,0,0,"$30,577.4",,1,.000
ID_class_2,Twin Falls ID,Digital,2020-10-20,9.8%,0,0,0,.025,31,.000,.06%,.57%,0,0,"$15,458.5",,1,.000
ID_class_2,Twin Falls ID,Digital,2020-10-27,9.8%,0,0,0,.025,31,.000,.04%,.41%,0,0,"$15,458.5",,1,.000
ID_class_2,Salt Lake City UT,Digital,2020-10-20,1.4%,0,0,0,.025,4,.000,.01%,.59%,0,0,"$2,222.6",,1,.000
ID_class_2,Salt Lake City UT,Digital,2020-10-27,1.4%,0,0,0,.025,4,.000,.01%,.41%,0,0,"$2,222.6",,1,.000
ID_class_2,Spokane WA,Digital,2020-10-20,21.9%,0,0,0,.025,66,.000,.13%,.59%,0,0,"$33,158.5",,1,.000
ID_class_2,Spokane WA,Digital,2020-10-27,21.9%,0,0,0,.025,66,.000,.09%,.41%,0,0,"$33,158.5",,1,.000
LA_class_2,Shreveport LA,Digital,2020-10-20,11.3%,0,0,0,.025,111,.000,.09%,.76%,0,0,"$55,475.4",,1,.000
LA_class_2,Shreveport LA,Digital,2020-10-27,11.3%,0,0,0,.025,111,.000,.10%,.85%,0,0,"$55,475.4",,1,.000
LA_class_2,New Orleans LA,Digital,2020-10-20,35.6%,0,0,0,.025,333,.000,.27%,.76%,0,0,"$166,614.3",,1,.000
LA_class_2,New Orleans LA,Digital,2020-10-27,35.6%,0,0,0,.025,333,.000,.30%,.85%,0,0,"$166,614.3",,1,.000
LA_class_2,Monroe LA-El Dorado AR,Digital,2020-10-20,8.9%,0,0,0,.025,85,.000,.07%,.76%,0,0,"$42,611.1",,1,.000
LA_class_2,Monroe LA-El Dorado AR,Digital,2020-10-27,8.9%,0,0,0,.025,85,.000,.08%,.85%,0,0,"$42,611.1",,1,.000
LA_class_2,Lafayette LA,Digital,2020-10-20,14.0%,0,0,0,.025,128,.000,.10%,.74%,0,0,"$63,910.1",,1,.000
LA_class_2,Lafayette LA,Digital,2020-10-27,14.0%,0,0,0,.025,128,.000,.12%,.83%,0,0,"$63,910.1",,1,.000
LA_class_2,Lake Charles LA,Digital,2020-10-20,5.6%,0,0,0,.025,53,.000,.04%,.76%,0,0,"$26,611.6",,1,.000
LA_class_2,Lake Charles LA,Digital,2020-10-27,5.6%,0,0,0,.025,53,.000,.05%,.85%,0,0,"$26,611.6",,1,.000
LA_class_2,Alexandria LA,Digital,2020-10-20,4.9%,0,0,0,.025,47,.000,.04%,.76%,0,0,"$23,461.3",,1,.000
LA_class_2,Alexandria LA,Digital,2020-10-27,4.9%,0,0,0,.025,47,.000,.04%,.85%,0,0,"$23,461.3",,1,.000
LA_class_2,Baton Rouge LA,Digital,2020-10-20,19.8%,0,0,0,.025,180,.000,.15%,.75%,0,0,"$90,007.9",,1,.000
LA_class_2,Baton Rouge LA,Digital,2020-10-27,19.8%,0,0,0,.025,180,.000,.16%,.83%,0,0,"$90,007.9",,1,.000
NE_class_2,Sioux City IA,Digital,2020-10-20,5.2%,0,0,0,.025,20,.000,.03%,.65%,0,0,"$10,206.3",,1,.000
NE_class_2,Sioux City IA,Digital,2020-10-27,5.2%,0,0,0,.025,20,.000,.03%,.57%,0,0,"$10,206.3",,1,.000
